Manufacturer_Code,Engine_Size,Price_in_thousands,Sales_in_thousands,Horsepower,Year_resale_value
28,4.7,51.728,9.835,230,34.08
29,2,14.9,9.761,115,11.425
29,2,16.7,83.721,115,13.24
29,1.8,21.2,51.102,150,16.725
29,2,19.99,9.569,115,16.575
29,2,17.5,5.596,115,13.76
29,2,15.9,49.463,115,18.073
30,1.9,23.4,16.957,160,18.073
30,1.9,24.4,3.545,160,18.073
30,2.4,27.5,15.245,168,18.073
30,2.4,28.8,17.531,168,18.073
30,2.3,45.5,3.493,236,18.073
30,2.9,36,18.969,201,18.073
